ecgR-mean,ecgR-median,ecgR-min,ecgR-max,ecgR-range,ecgP-mean,ecgP-median,ecgP-min,ecgP-max,ecgP-range,ecgQ-mean,ecgQ-median,ecgQ-min,ecgQ-max,ecgQ-range,ecgS-mean,ecgS-median,ecgS-min,ecgS-max,ecgS-range,ecgT-mean,ecgT-median,ecgT-min,ecgT-max,ecgT-range,ecgPQ-mean,ecgPQ-median,ecgPQ-min,ecgPQ-max,ecgPQ-range,ecgQS-mean,ecgQS-median,ecgQS-min,ecgQS-max,ecgQS-range,ecgST-mean,ecgST-median,ecgST-min,ecgST-max,ecgST-range,ecgPampl-mean,ecgPampl-median,ecgPampl-std,ecgPampl-min,ecgPampl-max,ecgPampl-range,ecgRampl-mean,ecgRampl-median,ecgRampl-std,ecgRampl-min,ecgRampl-max,ecgRampl-range,ecgSampl-mean,ecgSampl-median,ecgSampl-std,ecgSampl-min,ecgSampl-max,ecgSampl-range,ecgHrv-mean,ecgHrv-median,ecgHrv-min,ecgHrv-max,ecgHrv-range,ecgHrv-pNN50,ecgHrvDistr-mean,ecgHrvDistr-median,ecgHrvDistr-std,ecgHrvDistr-min,ecgHrvDistr-max,ecgHrvDistr-range,ecgHrvDistr-triind,ecgHrv-specRange1,ecgHrv-specRange2,ecgHrv-specRange3,ecgHrv-specRange4,sc-mean,sc-median,sc-std,sc-min,sc-max,sc-minRatio,sc-maxRatio,sc1Diff-mean,sc1Diff-median,sc1Diff-std,sc1Diff-min,sc1Diff-max,sc1Diff-minRatio,sc1Diff-maxRatio,sc2Diff-mean,sc2Diff-median,sc2Diff-std,sc2Diff-min,sc2Diff-max,sc2Diff-minRatio,sc2Diff-maxRatio,emg-mean,emg-median,emg-std,emg-min,emg-max,emg-minRatio,emg-maxRatio,emg1Diff-mean,emg1Diff-median,emg1Diff-std,emg1Diff-min,emg1Diff-max,emg1Diff-minRatio,emg1Diff-maxRatio,emg2Diff-mean,emg2Diff-median,emg2Diff-std,emg2Diff-min,emg2Diff-max,emg2Diff-minRatio,emg2Diff-maxRatio,Class
907.900000,909.000000,877.000000,938.000000, 61.000000,905.875000,909.000000,880.000000,940.000000, 60.000000,908.500000,909.000000,879.000000,940.000000, 61.000000,908.125000,909.000000,889.000000,937.000000, 48.000000,908.750000,916.000000,866.000000,934.000000, 68.000000, 80.888889, 77.000000, 70.000000,104.000000, 34.000000, 65.000000, 65.000000, 61.000000, 71.000000, 10.000000,229.111111,231.000000,211.000000,244.000000, 33.000000,  0.001496,  0.002849,  0.007807, -0.010060,  0.011180,  0.021240,  0.227224,  0.227254,  0.009178,  0.217082,  0.247168,  0.030086, -0.238813, -0.239247,  0.011679, -0.261560, -0.223287,  0.038274,907.900000,909.000000,877.000000,938.000000, 61.000000,  0.000000,  0.333333,  0.000000,  0.606478,  0.000000,  2.000000,  2.000000,  5.000000,  0.847435,  0.000000,  0.000000,  0.000000,  0.001097,  0.000025,  0.001614, -0.000039,  0.004727,  0.000600,  0.000600,  0.000000,  0.000000,  0.000002, -0.000002,  0.000005,  0.018598,  0.018498,  0.000000,  0.000000,  0.000000, -0.000001,  0.000001,  0.099590,  0.099590,  0.000000, -0.180863,  1.000000, -1.474834,  3.507262,  0.000500,  0.000500, -0.000363,  0.000016,  0.001212, -0.004022,  0.001413,  0.001600,  0.001600,  0.000000, -0.000000,  0.000004, -0.000011,  0.000011,  0.007399,  0.007399,mid
846.545455,850.000000,805.000000,901.000000, 96.000000,843.444444,841.000000,805.000000,899.000000, 94.000000,844.111111,841.000000,806.000000,906.000000,100.000000,844.000000,841.000000,805.000000,901.000000, 96.000000,843.222222,834.000000,801.000000,905.000000,104.000000, 85.900000, 86.000000, 82.000000, 90.000000,  8.000000, 61.900000, 62.000000, 59.000000, 66.000000,  7.000000,230.600000,232.000000,215.000000,244.000000, 29.000000, -0.003731, -0.004107,  0.007643, -0.014779,  0.009585,  0.024363,  0.237175,  0.240720,  0.011743,  0.216836,  0.254336,  0.037499, -0.240364, -0.240310,  0.006989, -0.249655, -0.229982,  0.019673,846.545455,850.000000,805.000000,901.000000, 96.000000,  0.000000,  0.366667,  0.000000,  0.556053,  0.000000,  2.000000,  2.000000,  5.500000,  0.839402,  0.000000,  0.000000,  0.000000,  0.000226,  0.000000,  0.000360, -0.000015,  0.001079,  0.000300,  0.000200,  0.000000,  0.000000,  0.000000, -0.000001,  0.000001,  0.018598,  0.018598,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.075092,  0.074993, -0.000000, -0.384860,  1.000000, -0.724169,  3.816340,  0.000800,  0.000800, -0.000437, -0.000138,  0.001211, -0.004339,  0.001500,  0.001400,  0.001300, -0.000000, -0.000000,  0.000004, -0.000011,  0.000009,  0.007199,  0.007099,mid
828.583333,815.000000,780.000000,880.000000,100.000000,823.600000,819.000000,766.000000,881.000000,115.000000,826.100000,816.000000,773.000000,887.000000,114.000000,826.100000,815.000000,780.000000,874.000000, 94.000000,824.400000,818.000000,779.000000,880.000000,101.000000, 86.909091, 84.000000, 70.000000,103.000000, 33.000000, 61.727273, 62.000000, 53.000000, 68.000000, 15.000000,233.090909,235.000000,215.000000,241.000000, 26.000000, -0.000320,  0.000201,  0.005982, -0.011350,  0.008296,  0.019646,  0.232973,  0.233306,  0.007548,  0.218846,  0.244323,  0.025477, -0.240438, -0.239833,  0.006491, -0.252839, -0.230522,  0.022316,828.583333,815.000000,780.000000,880.000000,100.000000,  0.083333,  0.400000,  0.000000,  0.621455,  0.000000,  2.000000,  2.000000,  6.000000,  0.838187,  0.000000,  0.000000,  0.000000,  0.000056,  0.000000,  0.000089, -0.000004,  0.000248,  0.000100,  0.000100,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.020198,  0.020098,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.060394,  0.060394, -0.000000, -0.195044,  1.000000, -1.388315,  1.911658,  0.000700,  0.000800, -0.000166, -0.000234,  0.001491, -0.003351,  0.003804,  0.001800,  0.001900, -0.000000, -0.000001,  0.000007, -0.000012,  0.000020,  0.008299,  0.008399,mid
716.846154,784.000000,248.000000,833.000000,585.000000,750.909091,785.000000,353.000000,832.000000,479.000000,743.727273,791.000000,266.000000,827.000000,561.000000,741.454545,784.000000,234.000000,834.000000,600.000000,719.454545,781.000000,153.000000,815.000000,662.000000, 78.000000, 84.000000,  9.000000, 96.000000, 87.000000, 59.500000, 61.000000, 28.000000, 74.000000, 46.000000,196.583333,225.000000,  2.000000,244.000000,242.000000, -0.002452, -0.001554,  0.006521, -0.012867,  0.007392,  0.020259,  0.218216,  0.237150,  0.065199,  0.014359,  0.255899,  0.241541, -0.222153, -0.243652,  0.072133, -0.255787,  0.005508,  0.261295,716.846154,784.000000,248.000000,833.000000,585.000000,  0.076923,  0.433333,  0.000000,  2.011747,  0.000000, 11.000000, 11.000000,  1.181818,  0.868788,  0.000000,  0.000000,  0.000000,  0.000123,  0.000000,  0.000185, -0.000003,  0.000555,  0.000100,  0.000100,  0.000000,  0.000000,  0.000000, -0.000000,  0.000001,  0.019298,  0.019198,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.063994,  0.063994, -0.000000, -0.257585,  1.000000, -1.666916,  2.420822,  0.000800,  0.000800,  0.000022, -0.000056,  0.001296, -0.002828,  0.003778,  0.001800,  0.001800, -0.000000, -0.000001,  0.000006, -0.000011,  0.000016,  0.006899,  0.006899,mid
732.153846,802.000000,259.000000,841.000000,582.000000,767.636364,798.000000,405.000000,835.000000,430.000000,761.272727,794.000000,288.000000,851.000000,563.000000,762.363636,801.000000,301.000000,841.000000,540.000000,753.909091,798.000000,327.000000,838.000000,511.000000, 76.916667, 79.000000,  5.000000,122.000000,117.000000, 67.250000, 67.000000, 60.000000, 80.000000, 20.000000,212.583333,232.000000,104.000000,238.000000,134.000000,  0.006149, -0.003776,  0.036411, -0.014300,  0.119668,  0.133968,  0.228571,  0.234569,  0.032276,  0.130350,  0.258071,  0.127721, -0.231939, -0.249913,  0.056302, -0.256610, -0.054892,  0.201717,732.153846,802.000000,259.000000,841.000000,582.000000,  0.076923,  0.433333,  0.000000,  2.011747,  0.000000, 11.000000, 11.000000,  1.181818,  0.869783,  0.000000,  0.000000,  0.000000,  0.000266,  0.000000,  0.000446, -0.000015,  0.001393,  0.000100,  0.000100,  0.000000,  0.000000,  0.000001, -0.000001,  0.000002,  0.008499,  0.008399,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.057594,  0.057594,  0.000000,  0.036553,  1.000000, -2.800119,  1.627131,  0.000700,  0.000800,  0.000321,  0.000264,  0.001377, -0.002080,  0.004038,  0.001600,  0.001700, -0.000000, -0.000001,  0.000006, -0.000009,  0.000016,  0.006199,  0.006199,mid
753.923077,815.000000,327.000000,848.000000,521.000000,800.909091,820.000000,634.000000,840.000000,206.000000,794.090909,813.000000,561.000000,853.000000,292.000000,788.818182,816.000000,501.000000,848.000000,347.000000,776.636364,820.000000,380.000000,840.000000,460.000000, 78.500000, 84.000000, 10.000000, 91.000000, 81.000000, 59.250000, 63.000000,  7.000000, 71.000000, 64.000000,217.416667,229.000000, 89.000000,241.000000,152.000000, -0.004386, -0.005587,  0.004983, -0.011752,  0.004868,  0.016620,  0.214629,  0.234352,  0.069912, -0.004213,  0.249313,  0.253526, -0.224061, -0.243201,  0.069947, -0.254216, -0.002687,  0.251529,753.923077,815.000000,327.000000,848.000000,521.000000,  0.000000,  0.433333,  0.000000,  1.675036,  0.000000,  9.000000,  9.000000,  1.444444,  0.857446,  0.000000,  0.000000,  0.000000,  0.000105,  0.000000,  0.000187, -0.000008,  0.000585,  0.000100,  0.000100,  0.000000,  0.000000,  0.000000, -0.000001,  0.000001,  0.006699,  0.006599,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.054495,  0.054495, -0.000000,  0.173415,  1.000000, -3.172049,  1.781046,  0.001000,  0.001000,  0.000382,  0.000185,  0.001791, -0.002831,  0.005073,  0.001900,  0.001900, -0.000000, -0.000003,  0.000011, -0.000015,  0.000031,  0.007099,  0.006999,low
731.846154,804.000000,247.000000,832.000000,585.000000,763.909091,799.000000,333.000000,841.000000,508.000000,757.272727,800.000000,258.000000,834.000000,576.000000,761.636364,804.000000,314.000000,832.000000,518.000000,752.363636,800.000000,414.000000,826.000000,412.000000, 74.916667, 82.000000,  2.000000, 91.000000, 89.000000, 71.416667, 66.000000, 62.000000,122.000000, 60.000000,204.166667,227.000000, 29.000000,244.000000,215.000000,  0.006020, -0.002951,  0.023874, -0.005163,  0.079662,  0.084825,  0.226077,  0.237865,  0.037943,  0.113231,  0.255829,  0.142598, -0.232577, -0.246559,  0.047534, -0.251713, -0.082692,  0.169021,731.846154,804.000000,247.000000,832.000000,585.000000,  0.076923,  0.433333,  0.000000,  2.011747,  0.000000, 11.000000, 11.000000,  1.181818,  0.866559,  0.000000,  0.000000,  0.000000,  0.000054,  0.000000,  0.000106, -0.000017,  0.000332,  0.000100,  0.000100,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.012099,  0.011999,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.042896,  0.042896,  0.000000,  0.332934,  1.000000, -3.576153,  0.705752,  0.001100,  0.001000,  0.000409,  0.000080,  0.001162, -0.000871,  0.004810,  0.001800,  0.001800,  0.000000, -0.000001,  0.000004, -0.000007,  0.000009,  0.007099,  0.006999,low
764.833333,814.000000,242.000000,860.000000,618.000000,810.500000,816.000000,779.000000,853.000000, 74.000000,811.800000,818.000000,767.000000,847.000000, 80.000000,811.700000,814.000000,770.000000,860.000000, 90.000000,790.400000,801.000000,631.000000,859.000000,228.000000, 81.909091, 82.000000, 69.000000, 96.000000, 27.000000, 67.090909, 68.000000, 57.000000, 76.000000, 19.000000,209.636364,231.000000, 24.000000,238.000000,214.000000, -0.003175, -0.002125,  0.008195, -0.013822,  0.016171,  0.029993,  0.240799,  0.244869,  0.013753,  0.214855,  0.260617,  0.045762, -0.243459, -0.246061,  0.007379, -0.252264, -0.228580,  0.023684,764.833333,814.000000,242.000000,860.000000,618.000000,  0.000000,  0.400000,  0.000000,  1.544735,  0.000000,  8.000000,  8.000000,  1.500000,  0.852769,  0.000000,  0.000000,  0.000000,  0.000802,  0.000103,  0.001050, -0.000012,  0.003049,  0.001100,  0.001000,  0.000000,  0.000000,  0.000001, -0.000001,  0.000003,  0.026697,  0.026697,  0.000000,  0.000000,  0.000000, -0.000001,  0.000001,  0.107689,  0.107589, -0.000000, -0.314225,  1.000000, -0.793005,  3.677025,  0.000900,  0.000900, -0.000394, -0.000161,  0.001314, -0.004777,  0.001628,  0.001800,  0.001900,  0.000000, -0.000001,  0.000005, -0.000014,  0.000014,  0.007099,  0.007199,low
801.583333,802.000000,766.000000,830.000000, 64.000000,798.200000,793.000000,767.000000,839.000000, 72.000000,799.000000,797.000000,766.000000,833.000000, 67.000000,798.600000,793.000000,766.000000,831.000000, 65.000000,797.700000,797.000000,760.000000,840.000000, 80.000000, 83.909091, 84.000000, 75.000000, 95.000000, 20.000000, 64.090909, 65.000000, 58.000000, 73.000000, 15.000000,226.909091,226.000000,211.000000,240.000000, 29.000000, -0.001888, -0.002054,  0.005602, -0.008851,  0.006336,  0.015187,  0.236620,  0.237712,  0.012232,  0.214800,  0.253285,  0.038484, -0.245169, -0.246015,  0.005351, -0.253266, -0.236226,  0.017039,801.583333,802.000000,766.000000,830.000000, 64.000000,  0.000000,  0.400000,  0.000000,  0.563242,  0.000000,  2.000000,  2.000000,  6.000000,  0.835122,  0.000000,  0.000000,  0.000000,  0.001355,  0.000124,  0.002133, -0.000536,  0.006304,  0.000300,  0.000300,  0.000000, -0.000000,  0.000002, -0.000004,  0.000006,  0.028297,  0.028197,  0.000000, -0.000000,  0.000000, -0.000003,  0.000003,  0.139086,  0.139086, -0.000000, -0.005605,  1.000000, -2.272666,  1.631123,  0.001100,  0.001200,  0.000286,  0.000286,  0.002405, -0.003684,  0.006539,  0.002100,  0.002100, -0.000000, -0.000003,  0.000016, -0.000026,  0.000045,  0.008199,  0.008199,low
826.727273,822.000000,806.000000,863.000000, 57.000000,824.222222,819.000000,805.000000,855.000000, 50.000000,823.444444,820.000000,799.000000,847.000000, 48.000000,823.777778,822.000000,806.000000,846.000000, 40.000000,822.555556,818.000000,800.000000,853.000000, 53.000000, 88.200000, 89.000000, 81.000000, 96.000000, 15.000000, 61.000000, 62.000000, 53.000000, 66.000000, 13.000000,228.300000,230.000000,216.000000,237.000000, 21.000000, -0.001596, -0.001960,  0.004627, -0.008316,  0.006175,  0.014491,  0.243216,  0.247064,  0.013211,  0.219338,  0.258312,  0.038975, -0.247079, -0.247522,  0.006973, -0.261619, -0.237221,  0.024399,826.727273,822.000000,806.000000,863.000000, 57.000000,  0.000000,  0.366667,  0.000000,  0.614948,  0.000000,  2.000000,  2.000000,  5.500000,  0.840747,  0.000000,  0.000000,  0.000000,  0.000973,  0.000115,  0.001502, -0.000050,  0.004537,  0.000300,  0.000200,  0.000000,  0.000000,  0.000002, -0.000003,  0.000005,  0.014699,  0.014699,  0.000000,  0.000000,  0.000000, -0.000001,  0.000001,  0.106089,  0.105989, -0.000000,  0.291403,  1.000000, -3.227423,  0.966814,  0.001000,  0.000900,  0.000366, -0.000007,  0.001161, -0.001167,  0.004329,  0.001800,  0.001800,  0.000000, -0.000001,  0.000004, -0.000008,  0.000012,  0.007399,  0.007399,low
