Description WordNo valence ValSD Arousal ArousalSD Dominance DominanceSd Frequency
absurd 623 4.26 1.82 4.36 2.2 4.73 1.72 17
annoy 20 2.84 1.81 6.49 2.17 5.09 2.04 2
computer 552 6.24 1.61 4.75 1.93 5.29 1.04 13
bored 48 2.95 1.35 2.83 2.31 4.11 1.70 14
surprised 422 7.47 1.56 7.47 2.09 6.11 2.19 58
rifle 603 4.02 2.76 6.35 2.04 4.16 2.71 63
rigid 963 3.66 2.12 4.66 2.47 4.61 2.04 24
riot 361 2.96 1.93 6.39 2.63 4.18 2.47 7
river 362 6.85 1.69 4.51 2.42 5.10 1.86 165
roach 363 2.35 1.70 6.64 2.64 4.82 2.94 2
robber 964 2.61 1.69 5.62 2.72 3.62 2.38 2
rock 965 5.56 1.38 4.52 2.37 5.15 2.01 75
rollercoaster 528 8.02 1.63 8.06 1.71 5.10 2.76 .
romantic 364 8.32 1.00 7.59 2.07 6.08 2.29 32
rotten 365 2.26 1.37 4.53 2.38 4.32 2.09 2
rough 966 4.74 2.00 5.33 2.04 4.81 1.70 41
rude 366 2.50 2.11 6.31 2.47 4.91 2.49 6
runner 571 5.67 1.91 4.76 2.40 5.47 1.84 1
rusty 367 3.86 1.47 3.77 2.16 4.53 1.62 8
sad 368 1.61 0.95 4.13 2.38 3.45 2.18 35
safe 967 7.07 1.90 3.86 2.72 5.81 2.06 58
blond 662 6.43 2.04 5.07 2.70 5.74 1.67 11
bloody 584 2.90 1.98 6.41 2.00 3.96 1.89 8
blossom 44 7.26 1.18 5.03 2.65 5.53 2.21 7
blubber 663 3.52 1.99 4.57 2.38 3.86 1.97 1
blue 544 6.76 1.78 4.31 2.20 5.63 1.64 143
board 664 4.82 1.23 3.36 2.12 4.98 1.77 239
body 665 5.55 2.37 5.52 2.63 5.34 2.12 276
bold 45 6.80 1.61 5.60 2.21 6.67 1.81 21
bomb 46 2.10 1.19 7.15 2.40 4.54 2.88 36
book 47 5.72 1.54 4.17 2.49 5.30 2.05 193
bored 48 2.95 1.35 2.83 2.31 4.11 1.70 14
bottle 666 6.15 1.49 4.79 2.44 4.78 1.65 76
bouquet 667 7.02 1.84 5.46 2.47 6.15 1.80 4
bowl 49 5.33 1.33 3.47 2.12 4.69 1.67 23
boxer 585 5.51 1.80 5.12 2.26 5.10 1.64 1
boy 50 6.32 1.60 4.58 2.37 5.34 2.20 242
brave 668 7.15 1.64 6.15 2.45 7.22 1.86 24
breast 51 6.50 1.78 5.37 2.39 5.39 2.27 11
breeze 669 6.85 1.71 4.37 2.32 5.54 1.67 14
bride 670 7.34 1.71 5.55 2.74 5.74 2.36 33
bright 671 7.50 1.55 5.40 2.33 6.34 1.82 87
broken 672 3.05 1.92 5.43 2.42 4.14 1.62 63
brother 52 7.11 2.17 4.71 2.68 5.12 2.31 73
sailboat 529 7.25 1.71 4.88 2.73 5.86 1.71 1
saint 968 6.49 1.70 4.49 1.90 5.37 2.11 16
salad 369 5.74 1.62 3.81 2.29 5.47 1.68 9
salute 370 5.92 1.57 5.31 2.23 5.46 2.05 3
sapphire 371 7.00 1.88 5.00 2.72 5.55 2.24 .
satisfied 372 7.94 1.19 4.94 2.63 6.14 2.37 36
save 969 6.45 1.93 4.95 2.19 6.00 1.79 62
savior 373 7.73 1.56 5.80 3.01 6.64 2.18 6
scalding 970 2.82 2.12 5.95 2.55 3.82 2.30 1
scandal 971 3.32 1.81 5.12 2.22 4.34 1.73 8
scapegoat 972 3.67 1.65 4.53 2.13 3.52 1.70 1
scar 973 3.38 1.70 4.79 2.11 3.88 1.71 10
scared 604 2.78 1.99 6.82 2.03 2.94 2.19 21
scholar 374 7.26 1.42 5.12 2.46 6.59 2.02 15
scissors 974 5.05 0.96 4.47 1.76 5.16 1.84 1
scorching 975 3.76 1.83 5.00 2.74 4.10 2.01 .
scorn 375 2.84 2.07 5.48 2.52 3.93 2.64 4
scornful 376 3.02 2.03 5.04 2.56 4.59 2.18 5
scorpion 976 3.69 2.63 5.38 3.08 3.98 2.44 .
scream 605 3.88 2.07 7.04 1.96 4.75 2.21 13
scum 377 2.43 1.56 4.88 2.36 4.26 1.99 .
scurvy 378 3.19 2.00 4.71 2.72 4.48 2.48 1
seat 380 4.95 0.98 2.95 1.72 4.84 1.88 54
secure 381 7.57 1.76 3.14 2.47 5.93 2.57 30
selfish 382 2.42 1.62 5.50 2.62 4.64 2.31 8
sentiment 977 5.98 1.71 4.41 2.30 5.09 1.46 23
serious 383 5.08 1.59 4.00 1.87 5.12 1.65 116
severe 978 3.20 1.74 5.26 2.36 3.83 1.91 39
sex 384 8.05 1.53 7.36 1.91 5.75 2.25 84
sexy 530 8.02 1.12 7.36 1.91 6.82 2.13 2
shadow 385 4.35 1.23 4.30 2.26 4.19 1.82 36
shamed 386 2.50 1.34 4.88 2.27 2.98 1.94 1
shark 606 3.65 2.47 7.16 1.96 2.63 2.16 .
sheltered 387 5.75 1.92 4.28 1.77 3.76 1.91 4
ship 388 5.55 1.40 4.38 2.29 5.12 2.31 83
shotgun 979 4.37 2.75 6.27 1.94 5.29 2.67 8
shriek 980 3.93 2.22 5.36 2.91 4.30 1.86 5
shy 389 4.64 1.83 3.77 2.29 3.44 1.96 13
sick 607 1.90 1.14 4.29 2.45 3.04 1.65 51
sickness 390 2.25 1.71 5.61 2.67 3.84 2.50 6
silk 391 6.90 1.27 3.71 2.51 4.81 1.93 12
silly 981 7.41 1.80 5.88 2.38 6.00 2.09 15
sin 392 2.80 1.67 5.78 2.21 3.62 2.29 53
sinful 393 2.93 2.15 6.29 2.43 4.24 2.73 3
sissy 394 3.14 1.96 5.17 2.57 3.58 2.74 .
skeptical 395 4.52 1.63 4.91 1.92 4.50 1.61 7
skijump 531 7.06 1.73 7.06 2.10 4.90 2.32 .
skull 608 4.27 1.83 4.75 1.85 4.86 1.62 3
sky 572 7.37 1.40 4.27 2.17 5.16 2.00 58
skyscraper 573 5.88 1.87 5.71 2.17 4.33 2.36 2
slap 396 2.95 1.79 6.46 2.58 4.21 2.29 2
slaughter 397 1.64 1.18 6.77 2.42 3.82 2.75 10
slave 398 1.84 1.13 6.21 2.93 3.29 2.76 30
sleep 399 7.20 1.77 2.80 2.66 5.41 2.41 65
slime 400 2.68 1.66 5.36 2.63 4.17 1.82 1
slow 982 3.93 1.60 3.39 2.22 4.35 1.61 60
slum 401 2.39 1.25 4.78 2.52 3.83 2.18 8
slush 983 4.66 1.88 3.73 2.23 4.91 1.48 .
smallpox 402 2.52 2.08 5.58 2.13 4.29 2.17 2
smooth 984 6.58 1.78 4.91 2.57 5.09 2.09 42
snake 609 3.31 2.20 6.82 2.10 3.78 2.05 44
lively 849 7.20 1.97 5.53 2.90 6.09 1.95 26
locker 850 5.19 1.31 3.38 2.13 5.36 1.87 9
loneliness 260 1.61 1.02 4.56 2.97 2.51 2.27 9
lonely 261 2.17 1.76 4.51 2.68 2.95 2.12 25
loser 851 2.25 1.48 4.95 2.57 3.02 2.17 1
lost 852 2.82 1.83 5.82 2.62 2.86 1.64 173
lottery 853 6.57 2.04 5.36 2.45 4.81 2.11 1
louse 262 2.81 1.92 4.98 2.03 3.57 2.26 3
love 263 8.72 0.70 6.44 3.35 7.11 2.56 232
loved 264 8.64 0.71 6.38 2.68 6.62 2.53 56
loyal 265 7.55 1.90 5.16 2.42 6.91 2.23 18
lucky 266 8.17 1.06 6.53 2.34 6.05 2.25 21
lump 854 4.16 2.34 4.80 2.82 4.32 2.18 7
luscious 267 7.50 1.08 5.34 2.51 5.68 1.84 2
lust 519 7.12 1.62 6.88 1.85 5.49 2.27 5
luxury 268 7.88 1.49 4.75 2.91 6.40 2.45 21
machine 855 5.09 1.67 3.82 2.40 5.23 2.06 103
mad 856 2.44 1.72 6.76 2.26 5.86 2.20 39
madman 857 3.91 2.49 5.56 2.78 4.79 2.55 2
maggot 269 2.06 1.47 5.28 2.96 4.03 2.09 2
magical 858 7.46 1.64 5.95 2.36 5.73 2.19 12
mail 859 6.88 1.74 5.63 2.36 5.67 1.79 47
malaria 860 2.40 1.38 4.40 2.54 3.22 1.90 3
malice 270 2.69 1.84 5.86 2.75 4.74 2.72 2
man 537 6.73 1.70 5.24 2.31 5.53 2.23 1207
mangle 861 3.90 2.01 5.44 2.10 4.61 1.84 .
maniac 862 3.76 2.00 5.39 2.46 4.22 2.07 4
manner 863 5.64 1.34 4.56 1.78 5.05 1.83 124
