@relation train

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute a5 real
@attribute a6 real
@attribute a7 real
@attribute a8 real
@attribute a9 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 {1,2,3,}

@data
2.240931,2.535587,0.109297,1.689522,0.841352,2.240628,0.769554,0.088214,1.365411,1.337763,1.181138,0.455042,-2.991297,2.346493,-0.193934,0.576836,1.503538,-0.193934,-1.269402,-1.083320,-0.943836,-0.971005,-1.352942,-1.151280,-0.153038,-1.399388,-0.857899,-1.456790,-1.403511,-1.456790,0.127342,1
0.130489,-0.611448,-0.405873,0.241626,0.552698,0.514989,0.510305,0.374135,-0.000707,0.446125,-0.223189,-0.230879,-0.408638,0.740008,-1.541642,-0.375845,-0.184353,-1.521333,-0.274389,-0.276721,-0.184655,-0.191943,-0.203072,-0.051276,-1.263572,-0.217146,-0.322774,-0.279335,-0.224998,-0.279334,0.164557,2
-0.752372,-0.378207,-0.352713,-0.482015,-0.611277,0.102370,0.095755,0.094197,-1.008325,-0.677909,-0.486319,-0.876578,0.482488,-2.397161,-0.092424,-0.290192,-2.665171,-0.182775,0.185158,-0.250452,0.107116,-0.131223,0.223721,0.427417,-0.100672,0.216895,0.483191,-0.150464,-2.570273,-2.443900,-1.327320,1
-1.688112,-0.534964,-0.330626,-1.409544,-1.176009,-0.370064,-0.377866,-0.413855,-1.728629,-1.453172,-1.535309,-1.969598,0.469791,-1.240954,0.317597,-1.665193,-1.407933,0.328836,2.765501,1.827046,2.292913,1.893494,2.622041,2.678345,-1.283979,3.161691,3.526719,2.075556,3.183310,2.093048,-1.328744,1
1.037779,-0.106482,-0.082799,0.918068,0.909331,-1.833680,-2.470748,-2.163523,0.508737,0.627443,0.293550,0.720785,-0.403420,0.422290,-0.419707,0.679428,0.507741,-0.046536,-1.459103,-1.628800,-1.412462,-1.488959,-1.517008,-1.056580,-0.604361,-0.998240,-1.099505,-1.766827,0.197412,0.177798,1.095225,2
0.084671,1.518919,0.752775,0.050969,0.708128,0.047877,-0.117410,-0.089818,0.646353,0.514356,0.851226,0.299461,-0.030652,0.242732,1.616839,0.418932,0.467508,1.616837,0.261491,-0.290665,0.293229,-0.194889,0.122989,0.511009,1.456892,0.165142,0.245114,-0.105125,0.172149,-0.105125,0.127342,3
-1.521231,-0.652977,-0.426824,-1.179931,-0.743576,-1.063916,-1.422311,-0.652173,-1.419898,-0.425567,-2.007503,0.345464,1.074575,-0.377655,-0.271011,0.992631,-0.377785,-0.271011,1.228084,0.486750,1.669821,0.554326,1.303179,0.652627,0.687601,1.117701,0.267181,0.629413,1.117702,0.629412,0.257576,3
-0.137868,0.879715,1.338770,-0.021702,0.020105,0.150565,0.406668,-0.394221,0.313516,-0.640502,0.631827,0.855768,0.438586,0.443864,-1.098803,-0.637697,0.421928,-2.679247,0.006059,0.482025,-0.022373,0.564258,0.083789,-0.378449,-0.247487,-0.193572,-0.377332,0.567626,0.595485,0.620224,0.315759,2
0.529998,-1.080304,-0.906366,0.554287,1.110261,-0.250151,-0.152546,-0.282502,0.652305,1.037076,-0.217438,0.319135,-0.359056,0.632400,-0.214855,0.653842,0.525806,-0.173858,-0.116525,-0.552286,0.072600,-0.355667,-0.102260,0.084866,-1.408939,-0.077283,0.087721,-0.395267,0.154275,-0.146151,0.873406,2
-0.467126,-0.540725,-0.237142,-0.494944,0.122688,-0.043426,0.530301,0.323206,0.124387,0.069521,-0.046970,0.943501,0.724597,-0.352643,-0.475763,0.677538,0.363057,-0.475762,-1.180131,-1.299662,-1.149673,-1.270506,-1.140922,-1.201546,-1.050849,-1.150072,-1.217427,-1.251406,-1.150073,-1.251405,0.000000,1
